,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BG-P164,,,,,,,,,9911,11983,13955,15355,17533,17436,23359
BG-P78,,,16955,7941,2643,1648,2025,2732,3859,2582,235,655,1997,615,
BG-P13,,,1024,4719,8359,2247,3584,Not Reported,Not Reported,Not Reported,,,,,
BG-P134,,,3929,4415,1228,891,633,778,1129,1215,461,499,324,226,
BG-P93,,,75331,82565,53452,65567,53745,15554,0,0,0,,,,
BG-P171,,,,,,,,,1359,4793,4487,4239,4156,4474,
BG-P7,,,8703,44573,23051,26175,15862,24140,27866,21725,22824,28654,30861,33588,
BG-P95,,,62455,55256,77000,74891,76150,85812,128319,131706,134342,130844,113154,119671,116202
166-H0,,,,,,,,,23195,20371,20420,20338,24008,25490,27265
BG-P5,,,12921,12034,9026,9604,9327,9413,9145,8851,9901,9142,9565,9691,11065
BG-P6,,,745962,877407,416856,425384,379317,477200,327619,386220,474680,462928,474151,469320,490523
BG-P40,,,157307,156774,171310,191975,193088,183615,189825,231410,315270,356858,347695,244154,187436
8,22082,24337,24084,24157,24292,19813,23100,18837,4092,1171,Not Reported,,,,
3,1615785,1590622,1641339,1770549,1758138,1502204,2074875,2560075,1412330,1254445,1203009,1347983,1435182,1435044,1222334
2,15662,16160,12962,10838,8583,8214,7610,5417,7138,9744,8343,10345,10747,11590,10295
1,29236,24945,25481,24560,25616,24936,9506,Not Reported,,,,,,,
9,17103,17297,18087,17131,9500,8035,5930,4977,2857,3014,2666,3620,5557,6739,7027
7,16604,19874,18575,19849,14178,9099,6137,5183,3017,2974,3130,3984,2875,5232,7037
12,7812,7721,8295,7211,6228,4722,3536,2364,2073,1505,1718,1831,1,0,0
13,0,0,0,0,Not Reported,,Not Reported,,,,,,,,
10,127298,123518,132587,121935,122899,130056,127383,127295,130408,130982,132145,132406,132136,132009,131244
11,13257,17224,17450,17206,11919,9441,6527,6252,1844,1837,0,0,Not Reported,,
6,15483,18218,15945,17171,14623,14026,13392,14118,15531,2198,919,Not Reported,,,
4,1145721,1119609,1139518,1125221,1064968,856827,740228,798264,1173202,1506658,1326076,1323548,1352831,1210929,1142452
CZ-0432-07,,,8614,104219,99766,102456,105323,103029,102970,104145,102843,96493,99741,100600,102956
CZ-0294-05,22166,21953,22311,23041,11290,11237,22254,18105,17955,19183,20958,22475,22950,23839,21275
CZ-0334-05,274416,271082,265983,260394,142776,146627,69736,105828,106649,158948,181691,190569,187993,184422,183718
CZ-0215-05,181115,166263,172712,152651,168442,188366,163543,168022,145525,143258,142923,134593,136594,131201,66955
CZ-0148-05,1600145,1548081,1582300,1563276,1501514,1553221,1561085,1501538,1594247,1897783,1912128,2055347,1880763,1938425,1832224
CZ-0417-06,,4698,3438,3714,1384,1257,1485,619,1031,853,1294,372,223,251,222
CZ-0091-05,296643,285304,286100,280836,265721,239756,239492,227877,224201,209457,204599,259938,263480,255259,245566
CZ-0053-05,54932,49934,45403,39056,39746,47559,38044,40284,50946,43716,43598,46437,12488,,
CZ-0134-05,4857971,5271377,5323893,6421669,3494107,3096911,2738940,2738057,2752294,2862942,2825625,3237646,2535886,2868088,2455839
CZ-0021-05,12112,11835,10433,9547,7577,8811,7855,8352,7984,6730,5760,5780,4996,5430,3981
CZ-0435-07,,,70480,96125,58190,72799,75226,73410,72696,74777,63701,54439,60181,57724,48194
CZ-0337-05,4597,2855,6258,4132,4656,5066,1433,0,0,,,,,,
CZ-0338-05,4445,83,14,39,40,64,0,0,0,,,,,,
CZ-0434-07,,,5212,8859,7169,7728,8712,7550,1134,0,,,,,
CZ-0243-05,9573,9852,10063,8769,8059,7606,6370,6442,5910,7343,7465,7902,8169,8251,8295
CZ-0365-05,1622,1511,1391,1261,887,1089,1156,1157,942,869,411,,,,
CZ-0455-13,,,,,,,,,183653,159906,182675,171696,150778,141870,157623
CZ-0301-05,186962,198642,221247,213373,148907,150603,143650,117035,109868,115274,111539,86335,114285,135632,124772
CZ-0381-05,543942,564342,636148,533506,405745,407168,426839,387354,372439,395322,459929,531823,555561,567456,594410
CZ-0186-05,6380,6098,4703,3328,2997,3027,3063,3103,2959,2691,2370,2607,2973,2583,2853
CZ-0241-05,14961,14950,14863,13505,2516,6849,6545,7183,8976,8523,9781,9492,10353,10631,10634
CZ-0168-05,29394,29221,28080,19226,4058,8334,12497,15749,12966,12841,14851,16312,19316,16729,14827
CZ-0457-13,,,,,,,,,66836,63421,61939,58585,68901,87915,77753
CZ-0427-06,,23104,19819,20663,19468,20345,17912,16151,11216,6557,2057,914,3607,271,373
CZ-0136-05,491955,594885,709234,675189,529445,470342,620925,482150,392805,479095,471867,515584,569140,617659,585507
CZ-0379-05,9283,5743,10992,8540,5932,2683,7140,6953,7330,8555,7240,8693,9120,8438,7144
CZ-0019-05,10699,10662,14790,7530,6795,4956,6665,3188,5816,7633,5575,6499,8000,12789,12553
CZ-0295-05,3885,4174,10321,2243,1192,1292,1565,1300,1208,1393,821,1430,1157,1584,1350
CZ-0290-05,2532,2873,3787,2229,2268,1337,1887,1891,1549,2081,1597,510,592,382,257
CZ-0062-05,1116,1156,1715,1921,1206,582,263,194,150,188,10,,,,
CZ-0452-13,,,,,,,,,17344,17941,18256,19866,22935,23281,22547
CZ-0184-05,12081,12864,12330,7129,1472,5717,5837,6192,5836,5741,7029,8015,6032,5501,5517
CZ-0027-05,38131,29364,28742,42773,42154,44955,44892,33994,30495,41720,49038,32886,34647,35159,28962
CZ-0103-05,36486,34192,38535,41812,33020,29711,33346,33248,35263,39904,56786,36252,36982,43258,40114
CZ-0339-05,23711,16026,15393,11276,14642,25859,22784,19254,18383,17721,17408,18068,17285,17832,19831
CZ-0139-05,12570,13199,8795,10698,10772,9152,8533,9418,13492,13195,11583,11765,9197,7144,7809
CZ-0150-05,3896,4047,3917,3912,3975,4036,3973,3939,3855,3851,3878,3928,3887,3484,3660
CZ-0096-05,27587,25113,21337,20575,19617,19787,17472,18818,17398,14294,14003,14336,14195,13829,14568
CZ-0283-05,144031,144558,142958,137426,117740,106289,91238,95685,97313,104265,104597,90827,120363,128884,
CZ-0051-05,1100,1230,27,242,164,91,137,58,179,50,191,463,95,50,52
CZ-0080-05,2575298,2500913,2640187,2476187,2282368,2303445,2456904,2379994,2218701,2115475,1467416,1792259,1967695,1919466,1405208
CZ-0049-05,203,124,0,101,12,0,0,0,6,0,0,18,0,0,0
CZ-0129-05,298,523,25,45,0,0,0,0,6,0,0,5,2,0,0
CZ-0050-05,1021,1123,0,213,68,95,22,10,8,0,99,398,3,0,1
CZ-0234-05,24695,4122,8953,26,2392,10356,14141,45186,66011,64293,71737,71092,82760,25838,30300
CZ-0032-05,13132,14992,15741,17048,14885,15885,13536,10450,12218,11314,11434,13125,13628,14443,13702
CZ-0175-05,56371,48573,56285,39508,36408,35462,33943,27848,31377,28256,27477,27933,27679,31638,29655
CZ-0352-05,10409,7707,10299,5530,0,0,0,0,0,0,,,,,
CZ-0306-05,18303,22182,24115,23564,16026,9051,17269,16320,15328,6654,7066,8489,9120,9711,10544
CZ-0280-05,26724,24219,43642,28412,30573,21472,17353,21649,23649,10700,9634,14306,12985,16869,17177
CZ-0310-05,9177,9040,11214,7418,8339,7809,9042,8849,9265,6368,6697,6910,5799,7371,6200
CZ-0398-05,13890,11537,12357,9373,12223,10716,11719,11048,12360,13698,10379,12542,12826,13075,13862
CZ-0099-05,5142,5654,4653,4898,4672,4428,4038,4470,4049,3298,3304,3561,3398,3644,2295
CZ-0071-05,8491,7404,7933,7834,7390,7602,8187,8396,8741,8888,9740,10021,10677,11036,12034
CZ-0185-05,43839,43023,41078,41069,41573,27841,15210,15287,5508,11489,11371,1752,1935,1926,1663
CZ-0083-05,2813,2253,2637,1645,2656,2743,2562,1547,1819,1422,851,1223,1221,1085,1400
CZ-0094-05,17965,18539,19962,18765,13064,13552,13086,12418,12404,16834,16880,19500,17663,17033,18455
CZ-0195-05,40286,40845,40738,34328,3445,3795,2560,0,337,248,285,39,,,
CZ-0423-06,,18365,26660,22176,19955,20167,21363,22286,20628,19675,20769,20347,23852,24019,24535
CZ-0304-05,3673,3857,3930,3660,2068,2946,2763,2497,488,45,4,0,,,
CZ-0090-05,65511,67565,61753,52622,41836,34924,33742,36847,33894,32806,32290,32905,33611,33403,33431
CZ-0047-05,18097,18043,17756,17649,15953,18035,18432,17811,17081,16466,17272,17960,18713,18730,18270
CZ-0002-05,11922,12550,12982,12090,2911,11227,11810,11995,11466,11716,11479,12106,12261,12103,12029
CZ-0004-05,62800,64756,67902,61773,53339,58995,61864,66390,60737,63191,65801,67299,64038,62769,75885
CZ-0364-05,12311,12960,21827,20632,16659,20139,20349,17117,16769,17823,20071,19157,14304,9332,9629
CZ-0082-05,35216,35408,36484,35074,33679,43374,45268,43069,40510,43209,42381,53660,58669,54712,54160
CZ-0233-05,21534,21195,19837,16980,8789,7972,7538,8965,13675,14072,15599,16728,17978,17958,15164
CZ-0218-05,121203,124508,165015,151839,110888,107073,119230,112727,101727,111302,128165,86201,142884,156968,150023
CZ-0193-05,471299,465427,565933,490969,369109,354004,368875,422207,325591,348099,350217,368962,384728,429958,495446
CZ-0340-05,77912,92290,52649,38649,55883,55004,43820,91843,40279,14130,9330,7873,6754,6378,7056
CZ-0404-06,15136,19494,18562,15952,14851,14926,14154,14783,17484,13296,13628,13946,14053,12992,12864
CZ-0413-05,27686,21076,15227,20177,22178,19451,15243,16668,18134,20564,21950,21762,23275,26112,23325
CZ-0182-05,1557,1977,3693,2718,3483,8933,12330,6360,145368,221271,227541,169869,106915,81909,56001
CZ-0181-05,131727,170684,154250,170497,163554,212651,192965,202032,196650,180800,209017,205761,218574,219354,215642
CZ-0471-11,,,,,,,,4835,4884,4672,5546,6390,6785,6202,2752
CZ-0164-05,127362,121130,76596,78511,61871,65923,61678,47931,26581,27326,29997,27530,39763,26837,25254
CZ-0437-08,,,,635,1951,1719,1275,1155,1046,1048,1022,1069,1002,1123,841
CZ-0147-05,310735,268670,397391,343040,400557,430460,396518,355879,328356,330003,331381,326495,324676,339639,387525
CZ-0060-05,46196,35047,18405,42840,12156,18795,5500,24619,644,,,,,,
CZ-0358-05,56515,60006,58621,54614,36828,50033,55936,57122,49224,54358,53379,53745,54645,52361,56223
CZ-0357-05,39676,40762,41168,42199,39433,39917,40092,38010,32368,31349,31357,24842,28482,29995,29138
CZ-0117-05,115278,114233,103666,94710,78352,100961,126906,113601,106556,106855,102065,107849,115268,119847,124800
CZ-0196-05,36534,38187,35016,34482,33181,32846,32241,30061,27348,26727,25696,26181,26513,27366,26386
CZ-0028-05,7541,6926,6181,6116,5876,6681,4639,4591,3966,3251,3199,3671,3679,4370,4104
CZ-0031-05,12055,12155,12493,12705,9444,9923,9504,7783,5753,8726,9379,9500,8478,8512,9334
CZ-0030-05,21162,21860,22771,21813,13158,14222,15755,14181,16203,17374,18871,17686,16607,16778,19122
CZ-0007-05,27644,23371,25421,25629,27872,28966,27896,22393,17222,15350,15734,15663,18359,19954,16086
CZ-0006-05,166585,172293,165184,150833,145758,141524,119877,72300,30219,21185,20330,20959,23309,22973,23813
CZ-0086-05,2822,2496,2236,2206,1401,1411,871,720,661,49,,,,,
CZ-0145-05,7424,6965,18387,20116,13759,5824,9598,2810,37891,37577,17975,34970,38009,15166,
CZ-0159-05,5634,5562,4755,4393,3945,4491,4179,4310,4993,4214,4493,4744,4588,4348,2680
CZ-0450-14,,,,,,,,,,5595,4679,686,686,,
CZ-0108-05,3029,3107,2672,2207,2219,4894,4053,3919,21274,22094,14223,899,899,,
CZ-0448-13,,,,,,,,,75482,84905,87156,90238,96285,90455,100896
CZ-0109-05,21255,20261,17117,15000,15190,15064,15383,16303,14878,13600,12429,11905,10815,10257,9260
CZ-0345-05,12288,13318,12846,11108,11883,12737,11344,9694,10460,9277,9513,9654,9999,8299,8061
CZ-0487-17,,,,,,,,,,,,,287,3076,1697
CZ-0245-05,4437,4031,4275,3878,3675,3918,3999,3718,3811,3748,3982,4098,4147,4005,3952
CZ-0001-05,7491,6586,9481,5628,4710,4874,3656,496,0,0,0,,,,
CZ-0486-16,,,,,,,,,,,,6911,7300,7200,6615
CZ-0005-05,7794,7709,7392,7446,7233,7933,7177,7034,15713,12552,13214,15553,14317,14625,14709
CZ-0219-05,2541,3001,3153,4277,4238,6207,4272,4217,4063,4042,4768,4866,3708,3854,4354
CZ-0438-08,,,,7868,18965,32082,34066,23440,25842,32259,36226,37363,39571,40194,36771
CZ-0428-06,,4521,4502,4517,4632,4661,4533,4441,4465,4565,5346,5834,6759,6771,7093
CZ-0132-05,52378,50819,50981,45302,43153,45864,46982,46579,45554,42092,46681,42837,50787,52433,53312
CZ-0131-05,30738,38069,35931,31527,24419,26850,26628,19521,23822,24040,25732,25208,25897,25912,20271
CZ-0040-05,19405,14630,10183,4858,1296,1982,4485,6481,6480,10969,151,698,698,0,0
CZ-0281-05,18465,18206,16744,15897,16103,8003,20093,21812,21525,21234,21750,22669,22052,21214,20636
CZ-0470-13,,,,,,,,,12510,17076,12985,12730,13227,14622,11239
CZ-0458-13,,,,,,,,,26091,26807,19697,19182,26134,26473,27198
CZ-0475-13,,,,,,,,,4503,4905,4087,3892,4048,4162,3950
CZ-0439-08,,,,13370,37196,40151,41725,40710,44277,50458,54020,56662,58658,57769,50639
CZ-0366-05,6399,6473,6340,5527,4341,4613,4336,3782,3019,1119,1090,1130,1155,1143,586
CZ-0287-05,2987,3040,2850,3004,1977,1897,1798,2453,2882,2952,3043,3369,3513,2882,3150
CZ-0066-05,11678,10492,10866,10308,11328,10482,11442,12203,11903,10791,12097,12534,14241,11624,12238
CZ-0456-13,,,,,,,,,10461,10597,10870,8189,6509,7925,6454
CZ-0180-05,283121,317642,310356,296999,299168,307058,284960,246384,231706,250596,239568,233445,208336,203618,158874
CZ-0048-05,484050,469492,472080,466764,419144,431830,433119,411178,432120,366396,279493,285388,259292,262924,244171
CZ-0271-05,7619,7369,5563,5507,5074,5450,4476,4629,4917,4135,4578,4569,4289,4073,4034
CZ-0122-05,17554,17359,17513,16734,23078,18928,23129,19825,20835,19475,14637,15105,14712,19799,21151
CZ-0123-05,30129,27206,24139,26911,23647,18403,16722,21205,18523,16093,10096,8812,12207,7041,5512
CZ-0263-05,2758,3429,1402,451,79,5,173,0,0,7,1,2,2,1,3
CZ-0481-13,,,,,,,,,555,2800,2888,3000,2915,3038,2957
CZ-0069-05,9189,8667,8121,8047,7834,8613,7518,8823,9145,9033,9244,9512,9642,9131,7797
CZ-0044-06,15416,15482,14831,14539,13215,14035,12409,12751,7414,,,,,,
CZ-0143-05,13993,9862,3862,12611,3778,2819,2191,1293,799,1495,1035,1114,1087,1237,743
CZ-0265-05,77653,73860,67371,67939,67279,69938,56394,57206,61493,55709,62567,67841,68921,60053,51278
CZ-0087-05,228936,250193,247661,247363,214862,213885,192291,190224,193896,151108,178888,125912,132066,131369,116997
CZ-0158-05,1871,928,2544,2437,1287,648,518,256,1330,185,188,939,767,52,188
CZ-0098-05,92282,88450,80312,98342,142981,154396,150533,174747,175332,188381,162638,114066,111720,99877,114786
CZ-0172-05,5741,5508,5368,4409,6647,6276,6826,6232,6255,4884,5510,6240,6207,5347,5738
CZ-0285-05,21335,23542,16574,18848,15231,27158,29355,13698,9943,4693,3696,14520,7555,3778,6221
CZ-0284-05,450724,441191,394266,402033,387235,403261,383395,415455,353124,303435,299890,291108,297382,292361,299041
CZ-0360-06,47288,45927,53719,61188,65450,66802,70684,83622,93870,87302,86367,94079,94615,94273,83669
CZ-0342-06,50281,46864,54281,49288,56471,56046,63728,74186,69973,66095,72429,75497,75301,75719,64364
CZ-0359-05,15620,16079,15865,8529,5910,5922,5195,4952,4186,5395,5870,6895,7742,7200,3143
CZ-0063-05,14864,14383,12475,13837,14272,14011,15536,16864,15203,15055,14630,15625,15147,14500,14409
CZ-0313-05,19349,26255,32357,24416,21637,21046,17673,17170,21297,23831,18682,20555,18975,17521,17205
CZ-0120-05,4474,4674,4437,4285,2391,3298,2809,2939,2716,2632,2614,1948,2873,2429,2431
CZ-0074-05,15530,16013,16259,15031,9716,11547,11469,11403,7366,9243,9074,8165,7427,7842,9470
CZ-0192-05,2386846,2564052,2661643,2712074,2459080,2533308,2629177,2700070,2735869,2630157,2497507,2513079,2629576,2696598,2650392
CZ-0372-05,389668,457291,519201,483991,404882,473414,466156,463962,366165,482653,476744,341334,535977,473399,520067
CZ-0231-05,413074,452528,385126,426318,401383,409891,374148,392690,405935,394512,412674,336328,418035,406600,420734
CZ-0190-05,1409704,861564,883588,1081777,947072,815309,1228901,1199906,1103040,771349,811611,918202,1146500,983065,621043
CZ-0179-05,90643,88072,89482,86845,86768,79356,81940,80917,79281,66825,77118,78129,75834,74274,74956
CZ-0479-12,,,,,,,,8945,22021,19893,22466,20847,15062,11959,5583
CZ-0299-05,40250,40114,36506,42074,31115,40302,41848,44106,41689,28103,32467,27742,33069,30879,30988
CZ-0102-05,342580,328832,344525,318702,197451,189425,315216,191670,133441,140586,135832,66866,69897,76354,72106
CZ-0462-13,,,,,,,,,33653,33319,32383,29449,29073,29500,33184
CZ-0267-05,18771,17920,16822,14522,6103,10651,10714,9604,21238,19255,21626,19462,21857,17753,8534
CZ-0178-05,296544,305468,313255,278425,234528,263502,288655,267594,296437,316802,307310,320238,307386,335823,300162
CZ-0144-05,347057,352667,360997,359308,346024,382038,392036,343036,357897,346671,320995,400873,383522,436931,391306
CZ-0291-05,13553,13351,12523,12716,12671,11747,10260,9589,7225,,,,,,
CZ-0017-05,14466,14017,14530,14484,9425,9607,14285,12076,9465,11502,14935,12925,14999,8997,15601
CZ-0012-05,24511,24795,22941,22137,16417,6059,15922,13169,12644,14204,13454,11857,14739,17661,20289
CZ-0014-05,13749,13326,13147,6290,8387,5960,6887,4736,6582,6411,5535,6883,7166,16200,23431
CZ-0010-05,9319,9930,10855,10525,8395,5361,6727,5708,5778,5665,5230,5696,6571,3361,5705
CZ-0020-05,30841,34837,39022,41488,36800,16765,26469,24306,19383,22609,19683,21878,22422,30015,29259
CZ-0289-05,12538,8339,8838,2758,1422,580,1192,1908,244,1096,380,806,1082,1259,1142
CZ-0288-05,7984,9652,6510,2757,2574,1869,1726,1540,1109,1948,1033,2137,2082,1361,2164
CZ-0249-05,8703,6301,4795,4109,3576,4665,4327,4171,4464,3713,3807,4278,4485,4865,4919
CZ-0394-05,20545,17504,15630,14330,6393,0,0,0,0,,,,,,
CZ-0260-15,540631,657200,807479,850746,588371,593592,636093,551237,453821,511690,558389,626166,610490,708533,767918
CZ-0261-15,505211,514573,499910,464520,442776,380384,479882,455108,439785,451484,450995,483421,469021,468992,473988
CZ-0033-05,25715,25347,27313,28043,20127,18952,20712,16349,15958,16574,17707,15790,16412,18717,19244
CZ-0257-05,4734,4664,3847,3761,3434,3657,3235,3554,2599,2691,2797,2479,3234,2803,2843
CZ-0256-05,525758,516596,513088,480588,484114,508716,520877,486107,413346,386998,391981,392103,405451,365504,363212
CZ-0194-05,12498,15802,15288,14761,12706,15576,15515,14152,19716,17811,18357,18069,22386,19967,18956
CZ-0309-05,134892,122875,124683,126870,108885,121330,108087,111756,109963,91692,88361,91468,89814,77209,74233
14616-0133,,,,,,,,,0,0,0,0,0,0,0
14310-1487,,,,,,,,,32249,31558,33075,35091,33118,29071,69433
14616-0059,,,,,,,,,5436,5261,5635,6393,6619,8411,11177
14616-0058,,,,,,,,,38672,41511,36730,38006,27695,29971,29096
14616-0035,,,,,,,,,4095,4265,4622,4295,4573,3093,4629
14616-0211,,,,,,,,,,,,,,39,39
14616-0129,,,,,,,,,8736,8929,9985,9843,9933,9762,11050
14616-0219,,,,,,,,,,,,,,0,
14210-0039,36988,40228,42287,42690,41130,42213,43711,42238,38883,34415,33270,33548,33622,33672,31988
14616-0005,,,,,,,,,0,0,625,643,637,508,468
14616-0095,,,,,,,,,172455,127583,114224,143783,158042,88105,115644
14616-0024,,,,,,,,,0,0,0,0,17,0,0
14616-0032,,,,,,,,,59683,59468,59710,56861,57255,56974,50891
14616-0049,,,,,,,,,166251,135332,123285,137309,129210,94095,93877
14616-0091,,,,,,,,,100720,106897,103118,110077,96292,104820,99837
14616-0096,,,,,,,,,4483,4063,3352,3157,2913,3215,3420
14616-0097,,,,,,,,,9776,7296,6928,6392,5641,6477,6254
14616-0013,,,,,,,,,181162,171915,167509,149313,160405,172946,165134
14616-0080,,,,,,,,,73619,70285,74968,68198,71547,74257,67937
14614-0001,,,,,,,,,22854,23671,22672,22318,22770,25664,23312
14614-0003,,,,,,,,,0,0,0,0,0,0,0
14260-0179,12194,16186,12170,9816,10450,7962,6595,6645,9140,7929,6711,7282,8419,10858,10468
14616-0106,,,,,,,,,99114,89432,95952,103059,112423,117601,86663
14260-0196,6279,8172,8101,6989,5479,5979,5241,4661,5380,5823,5936,6030,6587,7536,6141
14633-0027,,,,,,,,,21894,23021,23075,23985,23144,22145,17117
14633-0025,,,,,,,,,27055,25346,24977,23971,23342,24239,22922
14310-1699,,,,,,,464,99126,419525,415235,413799,399795,403836,398536,390874
14631-0004,,,,,,,,,253458,250946,264037,263760,258341,258829,249332
14631-0005,,,,,,,,,229366,226399,230065,233468,237537,252301,225269
14633-0028,,,,,,,,,32007,30153,31317,36909,36849,37010,33173
14616-0076,,,,,,,,,0,0,0,0,0,0,1
14615-0004,,,,,,,,,627343,443313,636046,652151,628103,597789,512092
14615-0006,,,,,,,,,829902,559155,718579,648607,607150,688398,595114
14615-0003,,,,,,,,,755161,906154,819415,893240,898018,714373,869523
14210-0044,,,,,,,,,1592548,1457040,1204616,1349817,1465979,1355296,1408252
